 n_updates  sweeps  iters    sec  max|diff|    b2star2
    (MPLE)       -      -      -     1.1928   0.014222
    (ergm)       -      -      -     0.0000   0.005819
       500     0.1     60    4.2     1.0887   0.013444
      1250     0.2     60    5.1     0.9922   0.012600
      2500     0.5     60   33.9        nan        nan
      5000     1.0     60   36.2        nan        nan
     10000     2.0     60   41.7        nan        nan
     25000     5.0     60   56.2        nan        nan
     50000    10.0     60   81.8        nan        nan
