 n_updates  sweeps  iters    sec  max|diff|    b2star2
    (MPLE)       -      -      -     1.1928   0.014222
    (ergm)       -      -      -     0.0000   0.005819
       500     0.1     60    4.4     1.0972   0.013483
      1250     0.2     60    5.2     0.9787   0.012559
      2500     0.5     60    6.9     0.8276   0.011346
      5000     1.0     60   10.2     0.6088   0.009680
     10000     2.0     60   16.7     0.3656   0.007974
     25000     5.0     60   36.4     0.1147   0.006451
     50000    10.0     60   68.8     0.0259   0.005926
