rspd_id,model_id,purchase,V1,V2,V3,V4
38,91,0,-1.294599109,-1.051338476,-1.124618783,A
38,276,1,-0.429548588,-0.910087174,0.05659346,D
38,37,0,1.150466277,0.825665596,1.136177553,C
38,386,0,-1.261538395,-0.937984069,-1.165959453,A
38,54,0,-1.161908674,-0.887893823,-0.870917632,A
38,99,0,-0.551146083,-0.065837773,-0.276165693,A
55,58,1,-1.172907827,-0.910087174,-0.838254465,A
55,191,0,-0.843833392,-0.926804496,-0.747813742,E
55,358,0,0.574750505,0.267132132,0.73162331,C
55,75,0,-0.966209177,-0.816514035,-1.326819405,C
55,80,0,-0.983524434,-1.238878901,-0.941359948,A
55,47,0,-0.712592266,-0.385734861,-0.513196748,A
62,58,1,-1.172907827,-0.910087174,-0.838254465,A
62,51,0,-0.680141698,0.262851163,-0.176338461,A
62,63,0,-1.27255916,-0.988639608,-0.840769521,A
62,53,0,-1.347654875,-1.478573412,-1.499338623,A
62,355,0,-0.967873069,-1.10329708,-1.608868696,C
62,215,0,-1.252563536,-0.977333315,-1.211707067,A
69,215,0,-1.252563536,-0.977333315,-1.211707067,A
69,22,1,-1.188455531,-1.057082041,-0.941359948,A
69,338,0,1.00291967,1.613704933,0.171966883,D
69,282,0,-0.015952501,0.512744777,3.61E-05,C
69,52,0,-1.769478065,-2.04290613,-2.027724801,A
69,155,0,-0.543616054,-1.287014439,-0.505382877,E
110,233,0,0.943847025,1.322326649,-0.134253183,C
110,80,0,-0.983524434,-1.238878901,-0.941359948,A
110,139,1,-0.524243189,-0.572681465,-0.134253183,B
110,192,0,-0.392362017,-0.470663529,-0.322217397,E
110,36,0,0.725134165,0.589062789,0.420274094,C
110,52,0,-1.769478065,-2.04290613,-2.027724801,A
124,253,0,0.427533476,-0.405573991,-0.097278526,C
124,145,0,0.122251326,0.335078118,0.178366798,D
124,313,0,0.410998639,0.097072704,0.248741476,D
124,264,0,-1.207220394,-1.256869289,-0.649486598,D
124,217,1,-0.116286719,0.347704275,-0.186531119,D
124,351,0,-0.42815394,-0.645499219,-0.649486598,C
138,34,0,0.984003661,0.664104856,0.850719002,C
138,146,0,0.17553612,0.198141787,0.238214133,D
138,135,0,0.129673827,0.335078118,0.44091138,B
138,109,0,-0.394976495,-0.460588113,0.166009402,B
